date,capital,n_long,n_short,daily_return
2026-01-28,999.2528000000001,1,0,-0.0007472000000000001
2026-01-29,975.5495243312001,3,0,-0.023721000000000003
2026-01-30,975.5495243312001,0,0,0.0
2026-02-02,975.5495243312001,0,0,0.0
2026-02-03,943.8303119871906,3,0,-0.0325142
2026-02-04,943.8303119871906,0,0,0.0
2026-02-05,943.8303119871906,0,0,0.0
2026-02-06,943.8303119871906,0,0,0.0
2026-02-09,943.8303119871906,0,0,0.0
2026-02-10,947.874247341931,1,0,0.0042845999999999995
2026-02-11,947.874247341931,0,0,0.0
2026-02-12,947.874247341931,0,0,0.0
2026-02-13,947.874247341931,0,0,0.0
2026-02-17,947.874247341931,0,0,0.0
2026-02-18,947.874247341931,0,0,0.0
2026-02-19,947.874247341931,0,0,0.0
2026-02-20,947.874247341931,0,0,0.0
2026-02-23,947.874247341931,0,0,0.0
2026-02-24,935.0739639309761,3,0,-0.013504200000000001
2026-02-25,935.0739639309761,0,0,0.0
2026-02-26,935.0739639309761,0,0,0.0
2026-02-27,935.0739639309761,0,0,0.0
2026-03-02,941.139227690618,3,0,0.0064864
2026-03-03,945.999458890258,3,0,0.005164200000000001
2026-03-04,945.999458890258,0,0,0.0
2026-03-05,945.999458890258,0,0,0.0
2026-03-06,951.5047973412156,3,0,0.005819600000000001
2026-03-09,968.7386425316192,3,0,0.018112200000000002
2026-03-10,990.687741450915,3,0,0.0226574
2026-03-11,990.687741450915,0,0,0.0
2026-03-12,988.2229103501851,3,0,-0.0024879999999999998
2026-03-13,997.2297715996987,3,0,0.0091142
2026-03-16,1010.1462904933667,3,0,0.0129524
2026-03-17,988.3792541672993,3,0,-0.021548400000000002
2026-03-18,993.7912236114179,3,0,0.005475600000000001
2026-03-19,993.7912236114179,0,0,0.0
2026-03-20,1002.7542266571694,3,0,0.009019000000000001
2026-03-23,997.2860073083625,3,0,-0.0054532
2026-03-24,1006.6335690548639,3,0,0.009373
2026-03-25,979.3785625192759,3,0,-0.027075400000000006
2026-03-26,979.3785625192759,0,0,0.0
2026-03-27,986.7329120209457,3,0,0.007509199999999999
2026-03-30,1050.3511350974193,3,0,0.06447359999999999
2026-03-31,1073.4718844236377,3,0,0.022012400000000005
2026-04-01,1073.4718844236377,0,0,0.0
2026-04-02,1073.4718844236377,0,0,0.0
2026-04-06,1073.4718844236377,0,0,0.0
2026-04-07,1073.4718844236377,0,0,0.0
2026-04-08,1073.4718844236377,0,0,0.0
2026-04-09,1073.4718844236377,0,0,0.0
2026-04-10,1086.9143287491443,2,0,0.012522400000000001
2026-04-13,1086.9143287491443,0,0,0.0
2026-04-14,1094.0460084257988,3,0,0.0065613999999999985
2026-04-15,1094.0460084257988,0,0,0.0
2026-04-16,1094.0460084257988,0,0,0.0
2026-04-17,1097.469497195365,3,0,0.003129200000000001
2026-04-20,1097.469497195365,0,0,0.0
2026-04-21,1097.469497195365,0,0,0.0
2026-04-22,1097.469497195365,0,0,0.0
2026-04-23,1097.469497195365,0,0,0.0
